technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",windows registry,windows registry key modification
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",command,command execution
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",process,process creation
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",instance,instance metadata
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,process creation
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",command,command execution
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,os api execution
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],cluster,cluster metadata
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],container,container enumeration
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],container,container metadata
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],pod,pod enumeration
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],pod,pod metadata
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],application log,application log content
T1552.007,True,Container API,['credential-access'],['Containers'],command,command execution
T1552.007,True,Container API,['credential-access'],['Containers'],file,file access
T1552.007,True,Container API,['credential-access'],['Containers'],user account,user account authentication
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],image,image creation
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,network connection creation
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,network traffic flow
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,network traffic content
T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",container,container creation
T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",process,os api execution
T1611,False,Escape to Host,['privilege-escalation'],"['Windows', 'Linux', 'Containers']",process,process creation
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",container,container creation
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",container,container start
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",command,command execution
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",image,image creation
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",instance,instance creation
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",instance,instance start
T1204.003,True,Malicious Image,['execution'],"['IaaS', 'Containers']",application log,application log content
T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],scheduled job,scheduled job creation
T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],container,container creation
T1053.007,True,Container Orchestration Job,"['execution', 'persistence', 'privilege-escalation']",['Containers'],file,file creation
T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],container,container creation
T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],container,container start
T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],pod,pod creation
T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],pod,pod modification
T1610,False,Deploy Container,"['defense-evasion', 'execution']",['Containers'],application log,application log content
T1609,False,Container Administration Command,['execution'],['Containers'],command,command execution
T1608.005,True,Link Target,['resource-development'],['PRE'],nan,nan
T1608.004,True,Drive-by Target,['resource-development'],['PRE'],nan,nan
T1608.003,True,Install Digital Certificate,['resource-development'],['PRE'],nan,nan
T1608.002,True,Upload Tool,['resource-development'],['PRE'],nan,nan
T1608.001,True,Upload Malware,['resource-development'],['PRE'],nan,nan
T1608,False,Stage Capabilities,['resource-development'],['PRE'],nan,nan
T1016.001,True,Internet Connection Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",process,process creation
T1016.001,True,Internet Connection Discovery,['discovery'],"['Windows', 'Linux', 'macOS']",command,command execution
T1553.005,True,Mark-of-the-Web Bypass,['defense-evasion'],['Windows'],file,file creation
T1553.005,True,Mark-of-the-Web Bypass,['defense-evasion'],['Windows'],file,file metadata
T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",process,os api execution
T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",file,file access
T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",process,process access
T1555.005,True,Password Managers,['credential-access'],"['Linux', 'macOS', 'Windows']",command,command execution
T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",active directory,active directory object creation
T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",active directory,active directory object modification
T1484.002,True,Domain Trust Modification,"['defense-evasion', 'privilege-escalation']","['Windows', 'Azure AD']",command,command execution
T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],active directory,active directory object creation
T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],active directory,active directory object deletion
T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],active directory,active directory object modification
T1484.001,True,Group Policy Modification,"['defense-evasion', 'privilege-escalation']",['Windows'],command,command execution
T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],windows registry,windows registry key creation
T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],windows registry,windows registry key modification
T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],process,process creation
T1547.014,True,Active Setup,"['persistence', 'privilege-escalation']",['Windows'],command,command execution
T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace']",logon session,logon session creation
T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace']",web credential,web credential creation
T1606.002,True,SAML Tokens,['credential-access'],"['Azure AD', 'SaaS', 'Windows', 'Office 365', 'Google Workspace']",web credential,web credential usage
T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS']",logon session,logon session creation
T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS']",web credential,web credential creation
T1606.001,True,Web Cookies,['credential-access'],"['Linux', 'macOS', 'Windows', 'SaaS']",web credential,web credential usage
T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace']",logon session,logon session creation
T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace']",web credential,web credential creation
T1606,False,Forge Web Credentials,['credential-access'],"['SaaS', 'Windows', 'macOS', 'Linux', 'Azure AD', 'Office 365', 'Google Workspace']",web credential,web credential usage
T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],process,process creation
