technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,definition,collection_layers,data_source_platform,contributors,data_component,type,description,source_data_element,relationship,target_data_element,references
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],['ATT&CK'],windows registry key modification,activity,A registry key was modified.,process,modified,windows registry key,['https://docs.microsoft.com/en-us/windows/win32/sysinfo/registry']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],['ATT&CK'],windows registry key modification,activity,A registry key was modified.,process,modified,windows registry key value,['https://docs.microsoft.com/en-us/windows/win32/sysinfo/registry']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],['ATT&CK'],windows registry key modification,activity,A registry key was modified.,user,modified,windows registry key,['https://docs.microsoft.com/en-us/windows/win32/sysinfo/registry']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],['ATT&CK'],windows registry key modification,activity,A registry key was modified.,user,modified,windows registry key value,['https://docs.microsoft.com/en-us/windows/win32/sysinfo/registry']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,user,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,process,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,user,created,process,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,process,created,process,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1553.006,True,Code Signing Policy Modification,['defense-evasion'],"['Windows', 'macOS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,process,created,thread,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",instance,Information about a virtual system within a cloud environment.,['cloud'],['IaaS'],['ATT&CK'],instance metadata,information,Data and information that describe an instance and activity around it.,user,retrieved information about,instance,"['https://aws.amazon.com/ec2/?ec2-whats-new.sort-by=item.additionalFields.postDateTime&ec2-whats-new.sort-order=desc', 'https://azure.microsoft.com/en-us/overview/what-is-a-virtual-machine/', 'https://cloud.google.com/compute/docs/instances']"
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,user,created,process,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,process,created,process,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",process creation,activity,A process was created.,process,created,thread,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,user,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,process,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",os api execution,activity,A process executed operating system api functions.,process,executed,api call,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1614,False,System Location Discovery,['discovery'],"['Windows', 'Linux', 'macOS', 'IaaS']",process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']","['ATT&CK', 'CTID']",os api execution,activity,A process executed operating system api functions.,process,executed,system call,['https://docs.microsoft.com/en-us/windows/win32/procthread/processes-and-threads']
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],cluster,Information about a cluster within a containerized environment.,['container'],['Containers'],"['ATT&CK', 'CTID']",cluster metadata,information,Data and information that describe a cluster and activity around it.,user,retrieved information about,cluster,"['https://kubernetes.io/docs/concepts/cluster-administration/', 'https://kubernetes.io/docs/reference/generated/kubectl/kubectl-commands#cluster-info']"
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],container,Information about a container within an environment.,['container'],['Containers'],"['ATT&CK', 'CTID']",container enumeration,activity,Containers were listed.,user,listed,containers,['https://docs.docker.com/engine/api/v1.41/#tag/Container']
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],container,Information about a container within an environment.,['container'],['Containers'],"['ATT&CK', 'CTID']",container metadata,information,Data and information that describe a container and activity around it.,user,retrieved information about,container,['https://docs.docker.com/engine/api/v1.41/#tag/Container']
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],pod,Information about a pod within a containerized environment.,['container'],['Containers'],"['ATT&CK', 'CTID']",pod enumeration,activity,Pods were listed.,user,listed,pods,"['https://kubernetes.io/docs/reference/kubectl/kubectl/', 'https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.19/#pod-v1-core']"
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],pod,Information about a pod within a containerized environment.,['container'],['Containers'],"['ATT&CK', 'CTID']",pod metadata,information,Data and information that describe a pod and activity around it.,user,retrieved information about,pod,"['https://kubernetes.io/docs/reference/kubectl/kubectl/', 'https://kubernetes.io/docs/reference/generated/kubernetes-api/v1.19/#pod-v1-core']"
T1613,False,Container and Resource Discovery,['discovery'],['Containers'],application log,"Logs from events in third-party applications (mail server, web applications, etc.).","['host', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Google Workspace']",['ATT&CK'],application log content,information,Data captured in an application log.,application log,contained,application event entries,['https://confluence.atlassian.com/doc/working-with-confluence-logs-108364721.html']
T1552.007,True,Container API,['credential-access'],['Containers'],command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,user,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1552.007,True,Container API,['credential-access'],['Containers'],command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']","['Austin Clark', 'ATT&CK', 'CTID']",command execution,activity,Information about commands executed through a command-line interface and/or script interpreter.,process,executed,command,"['https://tools.ietf.org/id/draft-ietf-opsawg-tacacs-07.html#rfc.section.7.2', 'https://tools.ietf.org/html/rfc2866']"
T1552.007,True,Container API,['credential-access'],['Containers'],file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']","['ATT&CK', 'CTID']",file access,activity,A file was opened or accessed.,user,accessed,file,"['https://docs.microsoft.com/en-us/windows/win32/fileio/file-management', 'https://docs.microsoft.com/en-us/windows/win32/fileio/file-streams', 'https://docs.microsoft.com/en-us/troubleshoot/windows-client/backup-and-storage/fat-hpfs-and-ntfs-file-systems']"
T1552.007,True,Container API,['credential-access'],['Containers'],file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']","['ATT&CK', 'CTID']",file access,activity,A file was opened or accessed.,process,accessed,file,"['https://docs.microsoft.com/en-us/windows/win32/fileio/file-management', 'https://docs.microsoft.com/en-us/windows/win32/fileio/file-streams', 'https://docs.microsoft.com/en-us/troubleshoot/windows-client/backup-and-storage/fat-hpfs-and-ntfs-file-systems']"
T1552.007,True,Container API,['credential-access'],['Containers'],file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']","['ATT&CK', 'CTID']",file access,activity,A file was opened or accessed.,user,requested access to,file,"['https://docs.microsoft.com/en-us/windows/win32/fileio/file-management', 'https://docs.microsoft.com/en-us/windows/win32/fileio/file-streams', 'https://docs.microsoft.com/en-us/troubleshoot/windows-client/backup-and-storage/fat-hpfs-and-ntfs-file-systems']"
T1552.007,True,Container API,['credential-access'],['Containers'],file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']","['ATT&CK', 'CTID']",file access,activity,A file was opened or accessed.,process,requested access to,file,"['https://docs.microsoft.com/en-us/windows/win32/fileio/file-management', 'https://docs.microsoft.com/en-us/windows/win32/fileio/file-streams', 'https://docs.microsoft.com/en-us/troubleshoot/windows-client/backup-and-storage/fat-hpfs-and-ntfs-file-systems']"
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,user,attempted to authenticate to,computer,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,user,attempted to authenticate to,application,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,user,attempted to authenticate to,cloud service,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,user,attempted to authenticate from,ip,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,user,attempted to authenticate from,port,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,application,attempted to authenticate,user,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
